name,brand,model,size,length_mm,width_mm,height_mm,weight_g,shape,hand,hump_placement,front_flare,side_curvature,sensor,sensor_type,sensor_position,max_dpi,polling_rate_hz,side_buttons,switches,material,connectivity
Logitech G304 X Lightspeed,Logitech,G304 X Lightspeed,Small,116.6,62.2,38.2,57.0,Symmetrical,Right,Back - moderate,Inward - moderate,Flat,Logitech HERO 25K,Optical,Centered (52%),25600,1000.0,2,Omron D2FC-F-7N(G1),Plastic,Wireless
Logitech G Pro X2 Superstrike,Logitech,G Pro X2 Superstrike,Large,125.0,63.5,40.0,61.0,Symmetrical,Ambidextrous,Center,Outward - slight,Flat,Logitech HERO 2,Optical,Centered (53%),44000,8000.0,2,Logitech SUPERSTRIKE,Plastic,Wireless
Redragon M818-STD,Redragon,M818-STD,Large,124.0,68.0,43.0,58.0,Ergonomic,Right,Center,Outward - moderate,Flat,PixArt PAW3311,Optical,Forward (55%),12000,1000.0,2,Huano Blue Shell Blue Dot,Plastic,Wireless
Delux M400,Delux,M400,Large,126.7,63.3,40.0,75.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3311,Optical,Centered (52%),24000,1000.0,2,Huano Blue Shell White Dot,Plastic,Wireless
Redragon M725,Redragon,M725,Medium,120.8,64.3,37.9,49.0,Symmetrical,Right,Back - minimal,Flat,Flat,SG 8925,Optical,Centered (52%),10000,1000.0,2,Huano Blue Shell White Dot,Plastic,Wireless
Redragon M617 LIT,Redragon,M617 LIT,Medium,120.8,64.3,37.9,41.0,Symmetrical,Right,Back - minimal,Flat,Flat,SG 8925,Optical,Centered (52%),10000,1000.0,2,Huano Blue Shell Blue Dot,Plastic,Wired
Akko Dash Ultra,Akko,Dash Ultra,Small,117.6,60.9,37.0,40.0,Symmetrical,Right,Back - minimal,Flat,Flat,PixArt PAW3950,Optical,Centered (50%),42000,8000.0,2,Kailh Optical V2,Plastic,Wireless
Akko Dash Max,Akko,Dash Max,Small,117.6,60.9,37.0,40.0,Symmetrical,Right,Back - minimal,Flat,Flat,PixArt PAW3395,Optical,Centered (50%),26000,8000.0,2,Kailh Optical V2,Plastic,Wireless
AJAZZ NJ08,AJAZZ,NJ08,Medium,122.5,65.0,40.9,70.0,Ergonomic,Right,Center,Outward - moderate,Flat,Instant A825,Optical,Centered (52%),12800,1000.0,2,Huano Transparent Blue Shell Yellow Dot,Plastic,Wireless
Dareu A950 GM,Dareu,A950 GM,Medium,122.9,64.1,38.8,60.0,Symmetrical,Right,Center,Outward - moderate,Flat,PixArt PAW3395,Optical,Centered (51%),26000,1000.0,2,Huano Transparent Green Shell White Dot,Plastic,Wireless
