category,slug,name,brand,affiliateLink,file_path
headsets,akg-k99,AKG K99,AKG,,/home/user/quakesettings/src/content/headsets/akg-k99.yaml
headsets,apple-airpods-pro-2nd-gen,Apple AirPods Pro 2nd Gen,Apple,,/home/user/quakesettings/src/content/headsets/apple-airpods-pro-2nd-gen.yaml
headsets,astro-a50-wireless,Astro A50 Wireless,Astro,,/home/user/quakesettings/src/content/headsets/astro-a50-wireless.yaml
headsets,audio-technica-ath-m50x,Audio-Technica ATH-M50x,Audio-Technica,,/home/user/quakesettings/src/content/headsets/audio-technica-ath-m50x.yaml
headsets,beyerdynamic-dt-700-pro-x,Beyerdynamic DT 700 Pro X,Beyerdynamic,,/home/user/quakesettings/src/content/headsets/beyerdynamic-dt-700-pro-x.yaml
headsets,beyerdynamic-dt-770-pro,Beyerdynamic DT 770 Pro,Beyerdynamic,https://www.amazon.com/dp/B0016MNAAI?tag=prosettings-20,/home/user/quakesettings/src/content/headsets/beyerdynamic-dt-770-pro.yaml
headsets,beyerdynamic-dt-990-pro,Beyerdynamic DT 990 Pro,Beyerdynamic,https://www.amazon.com/dp/B0011UB9CQ?tag=prosettings-20,/home/user/quakesettings/src/content/headsets/beyerdynamic-dt-990-pro.yaml
headsets,beyerdynamic-dt990-pro,Beyerdynamic DT 990 Pro,Beyerdynamic,,/home/user/quakesettings/src/content/headsets/beyerdynamic-dt990-pro.yaml
headsets,creative-fatal1ty,Creative Fatal1ty,Creative,,/home/user/quakesettings/src/content/headsets/creative-fatal1ty.yaml
headsets,drop-sennheiser-pc37x,Drop + Sennheiser PC37X,Sennheiser,,/home/user/quakesettings/src/content/headsets/drop-sennheiser-pc37x.yaml
headsets,havit-h2002bg,Havit H2002BG,Havit,,/home/user/quakesettings/src/content/headsets/havit-h2002bg.yaml
headsets,hyperx-cloud-alpha,HyperX Cloud Alpha,HyperX,https://www.amazon.com/dp/B074NBSF9N?tag=prosettings-20,/home/user/quakesettings/src/content/headsets/hyperx-cloud-alpha.yaml
headsets,hyperx-cloud-alpha-s,HyperX Cloud Alpha S,HyperX,https://www.amazon.com/dp/B074NBSF9N?tag=prosettings-20,/home/user/quakesettings/src/content/headsets/hyperx-cloud-alpha-s.yaml
headsets,hyperx-cloud-alpha-wireless,HyperX Cloud Alpha Wireless,HyperX,https://www.amazon.com/dp/B074NBSF9N?tag=prosettings-20,/home/user/quakesettings/src/content/headsets/hyperx-cloud-alpha-wireless.yaml
headsets,hyperx-cloud-ii,HyperX Cloud II,HyperX,https://www.amazon.com/dp/B00SAYCXWG?tag=prosettings-20,/home/user/quakesettings/src/content/headsets/hyperx-cloud-ii.yaml
headsets,hyperx-cloud-mix,HyperX Cloud MIX,HyperX,,/home/user/quakesettings/src/content/headsets/hyperx-cloud-mix.yaml
headsets,hyperx-cloud-stinger-2,HyperX Cloud Stinger 2,HyperX,,/home/user/quakesettings/src/content/headsets/hyperx-cloud-stinger-2.yaml
headsets,jabra-elite-10-gen-2,Jabra Elite 10 Gen 2,Jabra,,/home/user/quakesettings/src/content/headsets/jabra-elite-10-gen-2.yaml
headsets,logitech-g-pro-headset,Logitech G Pro,Logitech,,/home/user/quakesettings/src/content/headsets/logitech-g-pro-headset.yaml
headsets,logitech-g-pro-x-headset,Logitech G Pro X,Logitech,https://www.amazon.com/dp/B07PDFBJZD?tag=prosettings-20,/home/user/quakesettings/src/content/headsets/logitech-g-pro-x-headset.yaml
headsets,logitech-g-pro-x-wireless-headset,Logitech G Pro X Wireless,Logitech,https://www.amazon.com/dp/B07PDFBJZD?tag=prosettings-20,/home/user/quakesettings/src/content/headsets/logitech-g-pro-x-wireless-headset.yaml
headsets,logitech-g432,Logitech G432,Logitech,,/home/user/quakesettings/src/content/headsets/logitech-g432.yaml
headsets,philips-fidelio-x2,Philips Fidelio X2,Philips,,/home/user/quakesettings/src/content/headsets/philips-fidelio-x2.yaml
headsets,philips-fidelio-x3,Philips Fidelio X3,Philips,,/home/user/quakesettings/src/content/headsets/philips-fidelio-x3.yaml
headsets,philips-sho9554,Philips SHO9554,Philips,,/home/user/quakesettings/src/content/headsets/philips-sho9554.yaml
headsets,razer-blackshark-v2,Razer BlackShark V2,Razer,https://www.amazon.com/dp/B08BQJL6TC?tag=prosettings-20,/home/user/quakesettings/src/content/headsets/razer-blackshark-v2.yaml
headsets,razer-kraken-kitty,Razer Kraken Kitty,Razer,https://www.amazon.com/dp/B07QPQXB2H?tag=prosettings-20,/home/user/quakesettings/src/content/headsets/razer-kraken-kitty.yaml
headsets,sennheiser-cx400,Sennheiser CX400,Sennheiser,,/home/user/quakesettings/src/content/headsets/sennheiser-cx400.yaml
headsets,sennheiser-hd-280-pro,Sennheiser HD 280 Pro,Sennheiser,,/home/user/quakesettings/src/content/headsets/sennheiser-hd-280-pro.yaml
headsets,sennheiser-hd-599,Sennheiser HD 599,Sennheiser,,/home/user/quakesettings/src/content/headsets/sennheiser-hd-599.yaml
